681.7296457289673,212.51438153904263;688.8546632923055,210.94123693570492,688.8520203833144,210.94225402234326,645.0261193162003,200.74592438794951,119.36659402410908,330.0664552956648;689.0381695204245,210.99827294723718,689.0929393052676,210.911768433723,864.6645359886611,330.4854081469527,713.7475513984965,232.21384582427896;0,0;119.36659402410908,330.0664552956648;Red;runAdvGoal
1.7234307129498756,624.2700383913693;33.045331932684,612.1737290902049,33.26104817065389,611.9977334505381,6.929762223348162,482.7016633955841,33.26258106772321,611.9969865179577;30.419680703480175,612.159269559847,30.402507870488602,612.1520029070049,30.474954445102917,612.0743960481473,30.506262024505,612.0757902995133;1,0;6.929762223348162,482.7016633955841;Red;defendGoal
737.4779463633513,307.4112185338615;690.5344896399375,314.01836228176734,554.7306598296753,335.2184357450914,702.1320406493311,313.6705937586679,346.1354480728344,338.8722496599846;692.3895397231516,313.6320855698862,692.8707591951853,313.2460760663223,682.783059972668,334.73242857796214,682.7799407151019,334.7343994981078;0,0;346.1354480728344,338.8722496599846;Red;runAdvGoal
247.24903710018032,369.1798000108472;216.84041955868554,342.09597198343516,221.51559050162223,359.79319936958774,192.71787647809003,359.6756143042116,211.58694686479095,356.5573139112532;184.20486904502894,359.73247151286114,166.82638253232042,355.4213036547593,167.42944102786814,355.5032617240497,170.048377171192,355.67405176385654;0,0;211.58694686479095,356.5573139112532;Red;defendBall
342.3137583385239,360.7392389714827;354.5323741092547,363.003954083309,339.09916403055763,275.17473526225194,174.50117142207475,524.5148295677944,295.10586845046527,343.6674400519707;1065.1861170543261,264.749690088123,341.6819689178186,348.5227088560165,341.5069596635993,349.7871053011248,443.29018204301195,512.6521449221698;0,0;174.50117142207475,524.5148295677944;Red;defendGoal
971.7718061626182,578.570045878814;939.8828387726893,571.13289733095,938.289449500821,570.9774119223039,302.473920396255,349.505844353861,298.8473388646854,350.22449988079273;891.1923588588318,527.6920309130986,884.5300802108501,513.0493900589889,884.7807709401135,513.3696737169114,883.0317143780366,508.548808078944;0,0;298.8473388646854,350.22449988079273;Red;runAdvGoal
2.7936142266719464,65.3935907952989;8.392939542179922,127.3814082147112,702.9224093124353,350.4946257207999,8.394128510712742,127.35828498957153,6.331756395337625,162.70760320927195;6.5640378858418496,125.30717843675325,6.8430681116938965,118.77050504543217,900.065238716554,349.673806336949,900.0352867341946,350.25910544892554;0,0;702.9224093124353,350.4946257207999;Red;defendGoal
1021.6867103033377,323.6676435791307;988.4064718990128,379.3319324406802,1200,412.0665083817698,920.1314098713183,335.0619711187072,298.99535691250213,350.3451534533743;1032.5687881334768,327.03688568501855,1031.5011656824947,328.80494959899465,1026.675147866301,327.1328161673703,1026.5473612490907,327.2148910092781;0,1;298.99535691250213,350.3451534533743;Red;runAdvGoal
132.20602134764096,346.415179406196;331.7333313788602,350.7898471443777,95.71594947479609,348.1948420535712,308.88094016229763,365.0741562264254,293.57866338046415,344.75377644503624;166.8682370718394,347.2900124556015,460.00942910420355,700,900.0112888070613,350.19567265571885,900.1908244873435,350.4655459475828;0,1;95.71594947479609,348.1948420535712;Red;clearBall
600,350;57.39528354865931,418.6054321112398,283.1260148802389,92.91355924245806,229.98293101122866,274.0659956037269,573.5503500724338,359.9681395620315;868.280076472885,142.33134821172985,703.3533763695633,681.923343340713,1157.038242776719,226.93921967446659,644.4764518528956,626.4029042213815;0,0;573.5503500724338,359.9681395620315;Red;defendBall
285.2005401072519,421.53825582258685;152.57950713914047,384.9217556617086,223.5244124456635,417.9020808389083,244.18413823500435,421.2345003224517,216.44396965419023,411.97586168522815;200.99776348900022,411.8288925502386,200.91704014672635,410.3318026129121,900.223098751742,347.4284933352134,899.5176104574551,348.89869557263324;0,0;244.18413823500435,421.2345003224517;Red;defendBall
53.880189607516,665.6122344964112;14.500549110308182,650.3506627745344,11.891617460056581,648.2211720575884,310.2622915525244,347.0697670398305,11.891681294617506,648.2212548306238;14.315121283044883,650.0935055555229,14.314087634883062,650.092100819008,14.309027436746632,650.0852273717145,14.309925227773922,650.0864464642683;1,0;106.68176639851819,408.7817376016035;Red;defendGoal
144.20990102185655,0.6116798722849808;298.3150517353716,348.7172297442504,110.69391419846998,32.75389342573942,119.65857510391326,33.649930714592415,118.2758973582279,32.900077939177095;110.69663705909035,32.754162949314946,115.48667713410629,33.17865812332877,900.0518538995003,349.7882632366849,121.2078125969946,44.917591961126845;0,0;298.3150517353716,348.7172297442504;Red;defendGoal
484.41295427076324,359.1629762531767;379.1661762245321,375.7158236051358,483.44370304804096,306.7787524571965,167.47959855392725,431.53705057219673,438.2358882772675,332.01657545783524;1065.0894543343318,264.6413436319139,492.0657664789825,371.12026190783087,481.99350688504865,359.61488323750757,639.6940785217928,392.9703560129922;0,0;167.47959855392725,431.53705057219673;Red;defendGoal
233.23966273317163,350.1005813286633;106.67315159202066,347.8529142784184,142.48315815556614,355.9152150513526,147.9932844545109,357.10735798118696,279.59694170426263,351.3748371304134;259.50324065286037,616.5300108578476,282.4944422793585,347.6853999627473,900.11093494915,347.55943111815327,282.66746939902555,356.0089639095555;0,0;106.67315159202066,347.8529142784184;Red;defendGoal
73.28241928917372,89.61989954236208;96.6205308086282,62.141297459831435,96.12393977599451,62.226709997741295,1047.8567549880088,419.92572640002646,299.42004400899657,348.59229727985615;96.62053821617897,62.141282488136085,93.49775236922336,66.57038110304666,96.55183036140363,62.34399584698349,96.63012280322165,62.122804841657626;0,0;1047.8567549880088,419.92572640002646;Red;defendGoal
31.308630239743405,42.54490528920746;12.661643433917058,6.675151421351984,12.661643497058527,6.675151606642203,268.8966084066445,331.40156545817547,12.66164350462243,6.675151628838648;12.66164366575623,6.675152101689946,13.948933365751003,11.75471605597636,12.661643729938605,6.675152290034589,900.1294522949645,350.1982750340613;0,0;268.8966084066445,331.40156545817547;Red;defendGoal
233.2241445071168,654.5973056657722;196.75745118245834,666.2305943638327,299.9828991720356,350.1102053356048,175.8268144487114,657.1117184409654,196.28026571456206,666.2150719171075;196.23122278199713,607.937467050826,196.2312238593171,607.9374565353608,200.40920868176033,604.2805753058208,199.58008219813067,604.3437548208144;0,0;299.9828991720356,350.1102053356048;Red;defendGoal
600,350;326.63280189930697,590.5631343286099,479.5868693308736,432.6750973807826,524.8420422868908,171.00539018325298,322.80992531335517,491.17161467890406;1121.8253207418543,341.037351361304,674.7636606828471,458.2105615146471,762.4096323514581,501.5163033522748,649.3124878076535,681.265641111315;0,0;326.63280189930697,590.5631343286099;Red;defendCenter
5.886214564908933,32.07461407180665;18.88632960170297,2.3870506090831896,18.886329728979394,2.387050535367507,99.8689504995342,227.87948196579498,18.886329744226185,2.387050526537223;18.886330069029036,2.3870503384185895,20.13185292211351,6.267674234339324,18.886330198403712,2.3870502634880495,899.2576098210664,348.8629213718;0,0;99.8689504995342,227.87948196579498;Red;defendGoal
609.6763570148468,321.7579005059688;554.2658885092155,313.4997703614883,554.141461312631,313.61149129911234,558.7132271555503,313.83007920036465,582.684062920187,318.6448921399897;554.433238637617,313.4747193550412,557.0792011455553,313.40318126022476,549.3198964664033,319.2269056061223,549.6072964152696,319.1333410642294;0,0;582.684062920187,318.6448921399897;Red;defendBall
1039.9973379343105,663.2325882791627;566.8658744170863,492.22090298368875,303.4931104206965,350.3134164914984,306.4736212267023,348.63691263292566,1005.2728464293266,645.5434269632945;948.9296328585239,617.7872735535032,900.0361947558847,349.11322847646386,900.2480273959369,348.36456935815863,900.6576717628665,347.5008473011414;0,0;1005.2728464293266,645.5434269632945;Red;defendBall
12.391626465644336,688.7470657649409;10.18805247771651,470.1036734565057,297.51628421936783,350.8833537108191,54.383222187725885,682.651906497926,299.6395713104066,350.23707111988176;900.2305649549578,349.5872887293521,899.5290899797567,349.80043218468063,54.38322218772588,682.651906497926,54.38322218772586,682.651906497926;0,0;299.6395713104066,350.23707111988176;Red;defendGoal
465.7729446787256,319.12153374449275;380.2904742265642,355.4065239956728,458.29866197879585,294.05123663749504,172.3246362706403,508.80495736507373,423.42707525188035,342.8755858746236;1062.316699526969,260.8513048344415,470.34692107593946,313.086690428343,469.9159165847939,311.95988517709293,470.39996610836823,310.7824747351211;0,2;423.42707525188035,342.8755858746236;Red;defendBall
168.1493965609642,406.59088546323625;174.95125438522422,390.8503538038024,132.34416953906856,393.9656429527501,177.58630281425854,391.9373859092005,166.0800311811737,390.8800295520814;140.07098912137533,393.3297643496717,444.2759251551175,451.8825075829234,898.9275757265983,352.217555277205,899.378815585632,347.7828494748874;0,0;132.34416953906856,393.9656429527501;Red;clearBall
158.38528242627498,411.88386786548085;258.37474304386234,387.5754454336683,205.64428921647166,398.63256458116825,208.9746959410831,369.18231143377426,206.2045021322453,424.57484820084824;1063.738129021122,265.57570100022264,163.21082931033777,405.3490930631438,162.9719063288607,405.7750047032727,209.57371994623787,666.7341517536859;0,0;162.9719063288607,405.7750047032727;Blue;shootBall
600,350;526.0589676488017,565.0325940825668,168.73238696587373,505.4677875041049,361.3010677352053,637.106408038774,580.2605185576051,317.32775485396684;621.1317490416067,368.3141825027256,980.6269582599734,603.4830694543165,905.6077935094835,447.2017541643833,973.9077503560096,530.3094254375061;0,1;580.2605185576051,317.32775485396684;Red;shootBall
1103.8336759467993,324.3773969260729;844.6881295439065,318.0576445498372,120.01173463537484,346.9908632809676,119.80159430589434,346.65020445412136,1073.5396459370745,319.87466246335254;1049.0791227705838,315.97917522120383,1064.03562329517,316.13057355650596,1055.0703354764473,316.8482282746498,1054.3914888786971,317.85053239357774;0,0;1073.5396459370745,319.87466246335254;Red;shootBall
600,350;435.1083816359869,215.6085653796194,342.96360498474974,104.74003451677538,29.43126427071286,370.2204393249645,529.2585946645017,77.99827751669227;1023.4069232091715,420.419256702157,1057.693249408972,160.04825617414213,796.8541340113603,540.9810174945908,1019.4397374281949,599.81409870545;0,1;529.2585946645017,77.99827751669227;Red;defendBall
600,350;579.5779637137932,405.71660486822924,159.1747285207907,343.03436365608474,205.76322732176973,65.27344195461149,447.8334566564005,459.1387935047252;855.4195993436244,591.5056912081742,1168.894573574502,202.54571473025175,1030.7501788332897,536.2199516716552,869.445897823268,204.12880251108572;0,0;579.5779637137932,405.71660486822924;Red;defendBall
503.9101675254337,414.1929813756352;337.92324338958616,373.35116920192235,501.92894603140763,351.6768588813645,169.39068212822502,465.6858359957199,447.83532991506746,377.15471375438136;1065.4289676624253,268.4381036912253,498.1512659149075,412.685704612777,499.716018098945,414.5370020324007,532.646081192656,416.32486508142455;0,1;169.39068212822502,465.6858359957199;Red;defendGoal
600,350;526.0589676488017,565.0325940825668,168.73238696587373,505.4677875041049,361.3010677352053,637.106408038774,580.2605185576051,317.32775485396684;621.1317490416067,368.3141825027256,980.6269582599734,603.4830694543165,905.6077935094835,447.2017541643833,973.9077503560096,530.3094254375061;0,1;580.2605185576051,317.32775485396684;Red;clearBall
725.073106467176,335.573462680058;299.3610629554797,346.80531477739186,78.86112097713239,197.5231287694565,689.3100862354496,322.3204459248161,426.2763743096705,358.4610517211549;653.4907108375636,342.54690722186734,856.3489138941935,296.1514974085318,838.0002992932494,333.0025877302687,785.9069743326014,444.64579761587726;0,1;426.2763743096705,358.4610517211549;Red;defendBall
212.943821801055,390.54040454632883;309.33100772449944,381.182358999507,270.8316461840828,365.0949722301725,254.8397500800215,399.1600805461904,201.40808349586536,377.7565426126049;1062.5049614416741,264.2712765548615,226.7028840853777,398.4882767404826,227.12438466487197,398.61536597470575,275.013200479504,620.7313352702851;0,0;201.40808349586536,377.7565426126049;Red;clearBall
38.240974534698424,0.3788110977066026;7.637588844046187,20.288176419970114,300.07844460607,350.03084027196934,11.475990295210542,19.694416891209812,300.08161166060546,350.0410473312728;7.638306380937847,20.284306656124045,9.307734154395725,26.07931471617701,10.575156855223163,25.693932834857833,10.575156855543936,25.693932832694486;0,0;300.08161166060546,350.0410473312728;Red;defendGoal
77.68666778058935,233.38229485190726;117.3036087388627,324.24868723498855,151.67270517477473,207.26254179200862,198.70966524808134,252.74588796893147,109.68978272820871,204.16326885392073;77.44144819584477,700,109.04428500467992,201.64102385057276,900.0088849558516,349.80453097121847,112.61104268634368,202.84116162826564;0,0;117.3036087388627,324.24868723498855;Red;defendGoal
255.94772197248366,367.79794743256764;166.27013944252946,369.3054800878224,138.56225275942987,354.38052071936903,164.85841917787096,372.00073756907256,227.43679789642374,375.37614813451;165.6954936464341,372.04024224406686,163.91014604139568,371.9267846104438,166.48025067706658,369.8813224419842,167.6125371807707,369.5670980056477;0,0;227.43679789642374,375.37614813451;Red;defendBall
265.67059624120213,405.0002870773693;1200,301.27400584011,1200,310.69988664860017,202.72868090117976,393.31772446587416,211.4834229669635,399.2634385860932;176.83602713224985,393.423757063838,175.55049226087044,393.31518570075997,899.6073251232829,352.32263012328747,176.42633394076967,390.8748600099887;0,1;1200,310.69988664860017;Red;defendCenter
34.22061565582588,595.3819286662294;75.69000743796329,611.6248247113894,111.05995922816518,488.61642116698476,118.31828288957833,377.98823585055845,75.69000744227147,611.6248247286817;75.69000743900565,611.6248247155733,75.33246373185129,611.8948358908559,75.69000741812326,611.6248246317521,75.69000563871062,611.6248174721165;0,0;118.31828288957833,377.98823585055845;Red;defendGoal
15.494292152537838,425.72729780324204;1076.0962771263048,200.66612608368507,1200,244.28729388934136,29.773152545691445,494.66027363018645,234.79012865787652,511.6789170081727;13.889277878740781,450.5057773505698,12.024036290538831,450.35957615746133,899.5968129873984,352.38480828596056,16.24482881004899,452.98383928690555;0,0;1076.0962771263048,200.66612608368507;Red;defendCenter
350.76686162039863,273.4501922035036;173.49604764479668,302.9530214998108,233.52513192227912,310.77056235704447,249.18494031745755,278.6445554582589,304.39947967122333,276.1670256828899;249.2184130482373,278.60529244720453,249.7915631799997,278.66448097091336,249.09895378405068,282.55820313100406,249.13796810557665,282.5594445310027;0,2;304.39947967122333,276.1670256828899;Red;defendBall
40.55121453598484,58.50551113136885;41.1847780436101,183.30639086211318,1197.4658142683531,451.7317238957761,41.18372003282826,183.31643581391666,45.63677317984597,153.44569828897477;45.349791544895076,125.10048728617596,46.08681340023122,124.1615846353028,899.8646975853501,350.67651207603114,900.1626361001013,351.19421365262804;0,0;1197.4658142683531,451.7317238957761;Red;defendCenter
